date,open,high,low,close,adjclose,volume
2021-01-04 00:00:00,239.8200,248.1633,239.0633,243.2567,243.2567,145914600.00
2021-01-05 00:00:00,241.2200,246.9467,239.7333,245.0367,245.0367,96735600.00
2021-01-06 00:00:00,252.8300,258.0000,249.7000,251.9933,251.9933,134100000.00
2021-01-07 00:00:00,259.2100,272.3300,258.4000,272.0133,272.0133,154496700.00
2021-01-08 00:00:00,285.3333,294.8300,279.4633,293.3400,293.3400,225166500.00
2021-01-11 00:00:00,283.1333,284.8100,267.8733,270.3967,270.3967,177904800.00
2021-01-12 00:00:00,277.0000,289.3333,275.7800,283.1467,283.1467,138812100.00
2021-01-13 00:00:00,284.2533,286.8233,277.3333,284.8033,284.8033,99937500.00
2021-01-14 00:00:00,281.1300,287.6667,279.5833,281.6667,281.6667,93798900.00
2021-01-15 00:00:00,284.0000,286.6333,273.0333,275.3867,275.3867,116332800.00
2021-01-19 00:00:00,279.2667,283.3333,277.6667,281.5167,281.5167,76101000.00
2021-01-20 00:00:00,286.2467,286.5000,279.0933,283.4833,283.4833,76997700.00
2021-01-21 00:00:00,285.0000,285.2400,280.4733,281.6633,281.6633,61563300.00
2021-01-22 00:00:00,278.1033,282.6667,276.2067,282.2133,282.2133,60199500.00
2021-01-25 00:00:00,285.0000,300.1333,279.6067,293.6000,293.6000,123520200.00
2021-01-26 00:00:00,297.1267,298.6333,290.5333,294.3633,294.3633,69394800.00
2021-01-27 00:00:00,290.1167,297.1667,286.2200,288.0533,288.0533,82002000.00
2021-01-28 00:00:00,273.3333,282.6667,267.0000,278.4767,278.4767,79134000.00
2021-01-29 00:00:00,276.6667,280.8033,260.0333,264.5100,264.5100,104972400.00
2021-02-01 00:00:00,271.4300,280.6667,265.1867,279.9367,279.9367,76174200.00
2021-02-02 00:00:00,281.5600,293.5000,280.7333,290.9300,290.9300,73038600.00
2021-02-03 00:00:00,292.3400,292.6933,284.3533,284.8967,284.8967,55030500.00
2021-02-04 00:00:00,285.0000,285.5000,277.8067,283.3300,283.3300,47438100.00
2021-02-05 00:00:00,281.6667,288.2567,279.6567,284.0767,284.0767,55699800.00
2021-02-08 00:00:00,289.8900,292.5900,284.9167,287.8067,287.8067,60485100.00
